C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1584: UserWarning: GPU available but not used. Set the gpus flag in your trainer `Trainer(gpus=1)` or script `--gpus=1`.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\data_loading.py:132: UserWarning: The dataloader, train_dataloader, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 16 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.
  rank_zero_warn(

Training: 0it [00:00, ?it/s]
Training: 0it [00:00, ?it/s]
Epoch 0: : 0it [00:00, ?it/s]
Epoch 0: : 1it [00:00, 31.25it/s, loss=nan, v_num=23]
Epoch 0: : 2it [00:00, 48.78it/s, loss=nan, v_num=23]
Epoch 0: : 3it [00:00, 61.23it/s, loss=nan, v_num=23]
Epoch 0: : 4it [00:00, 70.18it/s, loss=nan, v_num=23]
Epoch 0: : 5it [00:00, 76.92it/s, loss=nan, v_num=23]
Epoch 0: : 6it [00:00, 84.51it/s, loss=nan, v_num=23]
Epoch 0: : 7it [00:00, 87.50it/s, loss=nan, v_num=23]
Epoch 0: : 8it [00:00, 89.89it/s, loss=nan, v_num=23]
Epoch 0: : 9it [00:00, 92.78it/s, loss=nan, v_num=23]
Epoch 0: : 10it [00:00, 96.16it/s, loss=nan, v_num=23]
Epoch 0: : 10it [00:00, 95.24it/s, loss=nan, v_num=23]
Epoch 0: : 11it [00:00, 100.00it/s, loss=nan, v_num=23]
Epoch 0: : 12it [00:00, 104.35it/s, loss=nan, v_num=23]
Epoch 0: : 13it [00:00, 107.44it/s, loss=nan, v_num=23]
Epoch 0: : 14it [00:00, 110.23it/s, loss=nan, v_num=23]
Epoch 0: : 15it [00:00, 112.78it/s, loss=nan, v_num=23]
Epoch 0: : 16it [00:00, 114.29it/s, loss=nan, v_num=23]
Epoch 0: : 17it [00:00, 115.65it/s, loss=nan, v_num=23]
Epoch 0: : 18it [00:00, 116.89it/s, loss=nan, v_num=23]
Epoch 0: : 19it [00:00, 117.29it/s, loss=nan, v_num=23]
Epoch 0: : 20it [00:00, 119.05it/s, loss=nan, v_num=23]
Epoch 0: : 21it [00:00, 119.32it/s, loss=nan, v_num=23]
Epoch 0: : 22it [00:00, 120.88it/s, loss=nan, v_num=23]
Epoch 0: : 23it [00:00, 121.70it/s, loss=nan, v_num=23]
Epoch 0: : 24it [00:00, 122.45it/s, loss=nan, v_num=23]
Epoch 0: : 25it [00:00, 123.76it/s, loss=nan, v_num=23]
Epoch 0: : 26it [00:00, 124.40it/s, loss=nan, v_num=23]
Epoch 0: : 26it [00:00, 124.40it/s, loss=nan, v_num=23]
Epoch 0: : 27it [00:00, 125.58it/s, loss=nan, v_num=23]
Epoch 0: : 28it [00:00, 126.13it/s, loss=nan, v_num=23]
Epoch 0: : 29it [00:00, 126.64it/s, loss=nan, v_num=23]
Epoch 0: : 30it [00:00, 127.66it/s, loss=nan, v_num=23]
Epoch 0: : 31it [00:00, 128.10it/s, loss=nan, v_num=23]
Epoch 0: : 32it [00:00, 128.51it/s, loss=nan, v_num=23]
Epoch 0: : 33it [00:00, 128.91it/s, loss=nan, v_num=23]
Epoch 0: : 34it [00:00, 128.79it/s, loss=nan, v_num=23]
Epoch 0: : 35it [00:00, 129.15it/s, loss=nan, v_num=23]
Epoch 0: : 36it [00:00, 130.44it/s, loss=nan, v_num=23]
Epoch 0: : 37it [00:00, 130.74it/s, loss=nan, v_num=23]
Epoch 0: : 38it [00:00, 131.04it/s, loss=nan, v_num=23]
Epoch 0: : 39it [00:00, 132.20it/s, loss=nan, v_num=23]
Epoch 0: : 40it [00:00, 132.89it/s, loss=nan, v_num=23]
Epoch 0: : 41it [00:00, 133.99it/s, loss=nan, v_num=23]
Epoch 0: : 42it [00:00, 134.19it/s, loss=nan, v_num=23]
Epoch 0: : 42it [00:00, 134.19it/s, loss=nan, v_num=23]
Epoch 0: : 43it [00:00, 134.80it/s, loss=nan, v_num=23]
Epoch 0: : 44it [00:00, 135.80it/s, loss=nan, v_num=23]
Epoch 0: : 45it [00:00, 136.36it/s, loss=nan, v_num=23]
Epoch 0: : 46it [00:00, 136.91it/s, loss=nan, v_num=23]
Epoch 0: : 47it [00:00, 137.03it/s, loss=nan, v_num=23]
Epoch 0: : 48it [00:00, 137.14it/s, loss=nan, v_num=23]
