C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1584: UserWarning: GPU available but not used. Set the gpus flag in your trainer `Trainer(gpus=1)` or script `--gpus=1`.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\data_loading.py:132: UserWarning: The dataloader, train_dataloader, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 16 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.
  rank_zero_warn(

Training: 0it [00:00, ?it/s]
Training: 0it [00:00, ?it/s]
Epoch 0: : 0it [00:00, ?it/s]
Epoch 0: : 1it [00:00, 58.83it/s, loss=11.1, v_num=31]
Epoch 0: : 2it [00:00, 76.93it/s, loss=10.7, v_num=31]
Epoch 0: : 3it [00:00, 85.72it/s, loss=9.15, v_num=31]
Epoch 0: : 4it [00:00, 93.03it/s, loss=7.83, v_num=31]
Epoch 0: : 5it [00:00, 96.16it/s, loss=6.29, v_num=31]
Epoch 0: : 6it [00:00, 100.01it/s, loss=-18.4, v_num=31]
Epoch 0: : 7it [00:00, 104.49it/s, loss=-14.8, v_num=31]
Epoch 0: : 8it [00:00, 108.12it/s, loss=-12.2, v_num=31]
Epoch 0: : 9it [00:00, 111.12it/s, loss=-9.89, v_num=31]
Epoch 0: : 10it [00:00, 112.37it/s, loss=-8.02, v_num=31]
Epoch 0: : 11it [00:00, 113.40it/s, loss=-6.92, v_num=31]
Epoch 0: : 12it [00:00, 114.29it/s, loss=-6.92, v_num=31]
Epoch 0: : 12it [00:00, 113.21it/s, loss=-16.3, v_num=31]
Epoch 0: : 13it [00:00, 115.05it/s, loss=-15, v_num=31]  
Epoch 0: : 14it [00:00, 115.71it/s, loss=-12.9, v_num=31]
Epoch 0: : 15it [00:00, 116.28it/s, loss=-11.3, v_num=31]
Epoch 0: : 16it [00:00, 117.65it/s, loss=-10.1, v_num=31]
Epoch 0: : 17it [00:00, 118.88it/s, loss=-9.22, v_num=31]
Epoch 0: : 18it [00:00, 120.81it/s, loss=-16.2, v_num=31]
Epoch 0: : 19it [00:00, 121.80it/s, loss=-14.8, v_num=31]
Epoch 0: : 20it [00:00, 124.23it/s, loss=-13.5, v_num=31]
Epoch 0: : 21it [00:00, 125.00it/s, loss=-12.6, v_num=31]
Epoch 0: : 22it [00:00, 126.44it/s, loss=-12.5, v_num=31]
Epoch 0: : 23it [00:00, 127.78it/s, loss=-12.3, v_num=31]
Epoch 0: : 24it [00:00, 129.04it/s, loss=-18.3, v_num=31]
Epoch 0: : 25it [00:00, 129.54it/s, loss=-18, v_num=31]  
Epoch 0: : 26it [00:00, 130.66it/s, loss=-10.6, v_num=31]
Epoch 0: : 27it [00:00, 131.71it/s, loss=-10.7, v_num=31]
Epoch 0: : 28it [00:00, 132.08it/s, loss=-10.7, v_num=31]
Epoch 0: : 28it [00:00, 132.08it/s, loss=-11, v_num=31]  
Epoch 0: : 29it [00:00, 131.82it/s, loss=-11.6, v_num=31]
Epoch 0: : 30it [00:00, 132.16it/s, loss=-19.3, v_num=31]
Epoch 0: : 31it [00:00, 131.92it/s, loss=-18.4, v_num=31]
Epoch 0: : 32it [00:00, 132.23it/s, loss=-11, v_num=31]  
Epoch 0: : 33it [00:00, 132.00it/s, loss=-10.1, v_num=31]
Epoch 0: : 34it [00:00, 132.30it/s, loss=-9.53, v_num=31]
Epoch 0: : 35it [00:00, 132.08it/s, loss=-8.49, v_num=31]
Epoch 0: : 36it [00:00, 132.35it/s, loss=-13.1, v_num=31]
Epoch 0: : 37it [00:00, 132.62it/s, loss=-13.1, v_num=31]
Epoch 0: : 38it [00:00, 133.81it/s, loss=-6.1, v_num=31] 
Epoch 0: : 39it [00:00, 134.02it/s, loss=-5.97, v_num=31]
Epoch 0: : 40it [00:00, 134.68it/s, loss=-6.16, v_num=31]
Epoch 0: : 41it [00:00, 135.32it/s, loss=-7.35, v_num=31]
Epoch 0: : 42it [00:00, 136.37it/s, loss=-13.6, v_num=31]
Epoch 0: : 43it [00:00, 136.95it/s, loss=-13.5, v_num=31]
Epoch 0: : 44it [00:00, 137.93it/s, loss=-13.5, v_num=31]
Epoch 0: : 44it [00:00, 137.50it/s, loss=-7.08, v_num=31]
Epoch 0: : 45it [00:00, 138.89it/s, loss=-6.95, v_num=31]
Epoch 0: : 46it [00:00, 139.82it/s, loss=-6.91, v_num=31]
Epoch 0: : 47it [00:00, 140.72it/s, loss=-6.85, v_num=31]
Epoch 0: : 48it [00:00, 141.18it/s, loss=-12.5, v_num=31]
Epoch 0: : 49it [00:00, 142.03it/s, loss=-11.9, v_num=31]
Epoch 0: : 50it [00:00, 142.45it/s, loss=-4.05, v_num=31]
Epoch 0: : 51it [00:00, 143.26it/s, loss=-4.75, v_num=31]
Epoch 0: : 52it [00:00, 143.65it/s, loss=-5.76, v_num=31]
Epoch 0: : 53it [00:00, 144.42it/s, loss=-6.61, v_num=31]
Epoch 0: : 54it [00:00, 145.16it/s, loss=-13.6, v_num=31]
Epoch 0: : 55it [00:00, 145.12it/s, loss=-14.9, v_num=31]
Epoch 0: : 56it [00:00, 145.84it/s, loss=-10.1, v_num=31]
Epoch 0: : 57it [00:00, 145.78it/s, loss=-4.41, v_num=31]
Epoch 0: : 58it [00:00, 146.10it/s, loss=-4.37, v_num=31]
Epoch 0: : 59it [00:00, 146.77it/s, loss=-4.71, v_num=31]
Epoch 0: : 60it [00:00, 147.06it/s, loss=-4.72, v_num=31]
Epoch 0: : 61it [00:00, 146.64it/s, loss=-4.54, v_num=31]
Epoch 0: : 62it [00:00, 146.23it/s, loss=-4.54, v_num=31]
Epoch 0: : 62it [00:00, 146.23it/s, loss=1.23, v_num=31] 
Epoch 0: : 63it [00:00, 146.17it/s, loss=5.05, v_num=31]
Epoch 0: : 64it [00:00, 145.79it/s, loss=5.16, v_num=31]
Epoch 0: : 65it [00:00, 145.74it/s, loss=10.3, v_num=31]
Epoch 0: : 66it [00:00, 145.38it/s, loss=10.5, v_num=31]
Epoch 0: : 67it [00:00, 145.34it/s, loss=11.1, v_num=31]
Epoch 0: : 68it [00:00, 145.30it/s, loss=18.5, v_num=31]
Epoch 0: : 69it [00:00, 145.26it/s, loss=19.5, v_num=31]
Epoch 0: : 70it [00:00, 145.53it/s, loss=20, v_num=31]  
Epoch 0: : 71it [00:00, 145.49it/s, loss=14.2, v_num=31]
Epoch 0: : 72it [00:00, 145.45it/s, loss=14.2, v_num=31]
Epoch 0: : 73it [00:00, 145.42it/s, loss=14.5, v_num=31]
Epoch 0: : 74it [00:00, 145.67it/s, loss=20.7, v_num=31]
Epoch 0: : 75it [00:00, 145.92it/s, loss=20.6, v_num=31]
Epoch 0: : 76it [00:00, 145.60it/s, loss=24.6, v_num=31]
Epoch 0: : 77it [00:00, 146.11it/s, loss=18.7, v_num=31]
Epoch 0: : 78it [00:00, 146.62it/s, loss=18.6, v_num=31]
Epoch 0: : 79it [00:00, 147.11it/s, loss=18.3, v_num=31]
Epoch 0: : 80it [00:00, 147.33it/s, loss=18.3, v_num=31]
Epoch 0: : 80it [00:00, 147.33it/s, loss=18, v_num=31]  
Epoch 0: : 81it [00:00, 147.54it/s, loss=17.7, v_num=31]
Epoch 0: : 82it [00:00, 148.02it/s, loss=10.3, v_num=31]
Epoch 0: : 83it [00:00, 148.22it/s, loss=5.98, v_num=31]
Epoch 0: : 84it [00:00, 148.41it/s, loss=6.09, v_num=31]
Epoch 0: : 85it [00:00, 148.34it/s, loss=5.99, v_num=31]
Epoch 0: : 86it [00:00, 148.28it/s, loss=5.41, v_num=31]
Epoch 0: : 87it [00:00, 148.72it/s, loss=5.24, v_num=31]
Epoch 0: : 88it [00:00, 148.90it/s, loss=3.94, v_num=31]
Epoch 0: : 89it [00:00, 149.08it/s, loss=2.75, v_num=31]
Epoch 0: : 90it [00:00, 149.26it/s, loss=1.89, v_num=31]
Epoch 0: : 91it [00:00, 149.67it/s, loss=7.35, v_num=31]
Epoch 0: : 92it [00:00, 150.33it/s, loss=-0.331, v_num=31]
Epoch 0: : 93it [00:00, 150.73it/s, loss=-0.575, v_num=31]
Epoch 0: : 94it [00:00, 150.88it/s, loss=-0.604, v_num=31]
Epoch 0: : 95it [00:00, 151.03it/s, loss=-0.684, v_num=31]
Epoch 0: : 96it [00:00, 151.18it/s, loss=-1.28, v_num=31] 
Epoch 0: : 97it [00:00, 151.56it/s, loss=-0.99, v_num=31]
Epoch 0: : 98it [00:00, 151.70it/s, loss=-0.99, v_num=31]
Epoch 0: : 98it [00:00, 151.70it/s, loss=-0.732, v_num=31]
Epoch 0: : 99it [00:00, 152.08it/s, loss=0.193, v_num=31] 
Epoch 0: : 100it [00:00, 152.21it/s, loss=0.916, v_num=31]
Epoch 0: : 101it [00:00, 150.97it/s, loss=1.57, v_num=31] 
Epoch 0: : 102it [00:00, 151.11it/s, loss=2.49, v_num=31]
Epoch 0: : 103it [00:00, 151.47it/s, loss=3.04, v_num=31]
Epoch 0: : 104it [00:00, 151.83it/s, loss=2.92, v_num=31]
Epoch 0: : 105it [00:00, 151.96it/s, loss=-2.12, v_num=31]
Epoch 0: : 106it [00:00, 152.08it/s, loss=-1.66, v_num=31]
Epoch 0: : 107it [00:00, 152.21it/s, loss=-2.03, v_num=31]
Epoch 0: : 108it [00:00, 152.33it/s, loss=2.4, v_num=31]  
Epoch 0: : 109it [00:00, 152.45it/s, loss=2.34, v_num=31]
Epoch 0: : 110it [00:00, 152.57it/s, loss=6.26, v_num=31]
Epoch 0: : 111it [00:00, 152.47it/s, loss=6.53, v_num=31]
Epoch 0: : 112it [00:00, 152.59it/s, loss=14.3, v_num=31]
Epoch 0: : 113it [00:00, 152.50it/s, loss=14.2, v_num=31]
Epoch 0: : 114it [00:00, 152.41it/s, loss=14, v_num=31]  
Epoch 0: : 115it [00:00, 152.72it/s, loss=13.9, v_num=31]
Epoch 0: : 116it [00:00, 153.04it/s, loss=13.9, v_num=31]
Epoch 0: : 116it [00:00, 153.04it/s, loss=3.61, v_num=31]
Epoch 0: : 117it [00:00, 153.34it/s, loss=3.58, v_num=31]
Epoch 0: : 118it [00:00, 153.45it/s, loss=4.06, v_num=31]
Epoch 0: : 119it [00:00, 153.55it/s, loss=3.81, v_num=31]
Epoch 0: : 120it [00:00, 153.65it/s, loss=3.41, v_num=31]
Epoch 0: : 121it [00:00, 153.94it/s, loss=2.95, v_num=31]
Epoch 0: : 122it [00:00, 153.85it/s, loss=1.51, v_num=31]
Epoch 0: : 123it [00:00, 153.94it/s, loss=0.864, v_num=31]
Epoch 0: : 124it [00:00, 154.04it/s, loss=0.601, v_num=31]
