C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\checkpoint_connector.py:45: LightningDeprecationWarning: Setting `Trainer(resume_from_checkpoint=)` is deprecated in v1.5 and will be removed in v1.7. Please pass `Trainer.fit(ckpt_path=)` directly instead.
  rank_zero_deprecation(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1584: UserWarning: GPU available but not used. Set the gpus flag in your trainer `Trainer(gpus=1)` or script `--gpus=1`.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1905: LightningDeprecationWarning: `trainer.resume_from_checkpoint` is deprecated in v1.5 and will be removed in v1.7. Specify the fit checkpoint path with `trainer.fit(ckpt_path=)` instead.
  rank_zero_deprecation(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\checkpoint_connector.py:250: UserWarning: You're resuming from a checkpoint that ended mid-epoch. Training will start from the beginning of the next epoch. This can cause unreliable results if further training is done, consider using an end of epoch checkpoint.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\data_loading.py:132: UserWarning: The dataloader, train_dataloader, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 16 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.
  rank_zero_warn(

Training: 0it [00:00, ?it/s]
Training: 0it [00:00, ?it/s]
Epoch 3: : 0it [00:00, ?it/s]
Epoch 3: : 1it [00:00, 58.83it/s, loss=135, v_num=39]
Epoch 3: : 2it [00:00, 80.00it/s, loss=519, v_num=39]
Epoch 3: : 3it [00:00, 90.92it/s, loss=498, v_num=39]
Epoch 3: : 4it [00:00, 102.57it/s, loss=454, v_num=39]
Epoch 3: : 5it [00:00, 108.70it/s, loss=385, v_num=39]
Epoch 3: : 6it [00:00, 117.65it/s, loss=235, v_num=39]
Epoch 3: : 7it [00:00, 120.70it/s, loss=202, v_num=39]
Epoch 3: : 8it [00:00, 121.22it/s, loss=239, v_num=39]
Epoch 3: : 9it [00:00, 123.29it/s, loss=267, v_num=39]
Epoch 3: : 10it [00:00, 125.01it/s, loss=263, v_num=39]
Epoch 3: : 11it [00:00, 127.91it/s, loss=239, v_num=39]
Epoch 3: : 12it [00:00, 130.44it/s, loss=258, v_num=39]
Epoch 3: : 13it [00:00, 132.66it/s, loss=263, v_num=39]
Epoch 3: : 14it [00:00, 132.08it/s, loss=263, v_num=39]
Epoch 3: : 14it [00:00, 132.08it/s, loss=269, v_num=39]
Epoch 3: : 15it [00:00, 132.75it/s, loss=283, v_num=39]
Epoch 3: : 16it [00:00, 131.15it/s, loss=294, v_num=39]
Epoch 3: : 17it [00:00, 131.78it/s, loss=276, v_num=39]
Epoch 3: : 18it [00:00, 132.35it/s, loss=287, v_num=39]
Epoch 3: : 19it [00:00, 131.03it/s, loss=287, v_num=39]
Epoch 3: : 20it [00:00, 121.95it/s, loss=272, v_num=39]
Epoch 3: : 21it [00:00, 121.39it/s, loss=288, v_num=39]
Epoch 3: : 22it [00:00, 121.55it/s, loss=259, v_num=39]
Epoch 3: : 23it [00:00, 121.70it/s, loss=248, v_num=39]
Epoch 3: : 24it [00:00, 121.83it/s, loss=232, v_num=39]
Epoch 3: : 25it [00:00, 121.95it/s, loss=248, v_num=39]
Epoch 3: : 26it [00:00, 122.64it/s, loss=290, v_num=39]
Epoch 3: : 27it [00:00, 121.62it/s, loss=290, v_num=39]
Epoch 3: : 28it [00:00, 122.27it/s, loss=290, v_num=39]
Epoch 3: : 28it [00:00, 121.74it/s, loss=286, v_num=39]
Epoch 3: : 29it [00:00, 121.85it/s, loss=278, v_num=39]
Epoch 3: : 30it [00:00, 121.95it/s, loss=283, v_num=39]
Epoch 3: : 31it [00:00, 122.05it/s, loss=294, v_num=39]
Epoch 3: : 32it [00:00, 123.08it/s, loss=303, v_num=39]
Epoch 3: : 33it [00:00, 123.60it/s, loss=287, v_num=39]
Epoch 3: : 34it [00:00, 124.09it/s, loss=292, v_num=39]
Epoch 3: : 35it [00:00, 124.56it/s, loss=289, v_num=39]
Epoch 3: : 36it [00:00, 125.00it/s, loss=282, v_num=39]
Epoch 3: : 37it [00:00, 125.00it/s, loss=285, v_num=39]
Epoch 3: : 38it [00:00, 125.83it/s, loss=236, v_num=39]
Epoch 3: : 39it [00:00, 126.62it/s, loss=222, v_num=39]
Epoch 3: : 40it [00:00, 127.39it/s, loss=249, v_num=39]
Epoch 3: : 41it [00:00, 128.13it/s, loss=242, v_num=39]
