C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\checkpoint_connector.py:45: LightningDeprecationWarning: Setting `Trainer(resume_from_checkpoint=)` is deprecated in v1.5 and will be removed in v1.7. Please pass `Trainer.fit(ckpt_path=)` directly instead.
  rank_zero_deprecation(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1584: UserWarning: GPU available but not used. Set the gpus flag in your trainer `Trainer(gpus=1)` or script `--gpus=1`.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1905: LightningDeprecationWarning: `trainer.resume_from_checkpoint` is deprecated in v1.5 and will be removed in v1.7. Specify the fit checkpoint path with `trainer.fit(ckpt_path=)` instead.
  rank_zero_deprecation(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\checkpoint_connector.py:250: UserWarning: You're resuming from a checkpoint that ended mid-epoch. Training will start from the beginning of the next epoch. This can cause unreliable results if further training is done, consider using an end of epoch checkpoint.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\data_loading.py:132: UserWarning: The dataloader, train_dataloader, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 16 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.
  rank_zero_warn(

Training: 0it [00:00, ?it/s]
Training: 0it [00:00, ?it/s]
Epoch 4: : 0it [00:00, ?it/s]
Epoch 4: : 1it [00:00,  9.80it/s]
Epoch 4: : 1it [00:00,  9.80it/s, loss=283, v_num=40]
Epoch 4: : 2it [00:00, 12.42it/s, loss=241, v_num=40]
Epoch 4: : 3it [00:00, 13.82it/s, loss=241, v_num=40]
Epoch 4: : 3it [00:00, 13.76it/s, loss=239, v_num=40]
Epoch 4: : 4it [00:00, 14.76it/s, loss=272, v_num=40]
Epoch 4: : 5it [00:00, 15.67it/s, loss=272, v_num=40]
Epoch 4: : 5it [00:00, 15.67it/s, loss=257, v_num=40]
Epoch 4: : 6it [00:00, 15.79it/s, loss=268, v_num=40]
Epoch 4: : 7it [00:00, 16.39it/s, loss=268, v_num=40]
Epoch 4: : 7it [00:00, 16.36it/s, loss=274, v_num=40]
Epoch 4: : 8it [00:00, 16.53it/s, loss=270, v_num=40]
Epoch 4: : 9it [00:00, 16.92it/s, loss=270, v_num=40]
Epoch 4: : 9it [00:00, 16.89it/s, loss=263, v_num=40]
Epoch 4: : 10it [00:00, 17.06it/s, loss=280, v_num=40]
Epoch 4: : 11it [00:00, 17.27it/s, loss=280, v_num=40]
Epoch 4: : 11it [00:00, 17.27it/s, loss=277, v_num=40]
Epoch 4: : 12it [00:00, 17.27it/s, loss=296, v_num=40]
Epoch 4: : 13it [00:00, 17.36it/s, loss=296, v_num=40]
Epoch 4: : 13it [00:00, 17.36it/s, loss=304, v_num=40]
Epoch 4: : 14it [00:00, 17.37it/s, loss=302, v_num=40]
Epoch 4: : 15it [00:00, 17.36it/s, loss=302, v_num=40]
Epoch 4: : 15it [00:00, 17.36it/s, loss=288, v_num=40]
Epoch 4: : 16it [00:00, 17.39it/s, loss=288, v_num=40]
Epoch 4: : 17it [00:00, 17.60it/s, loss=288, v_num=40]
Epoch 4: : 17it [00:00, 17.58it/s, loss=285, v_num=40]
Epoch 4: : 18it [00:01, 17.72it/s, loss=298, v_num=40]
Epoch 4: : 19it [00:01, 17.77it/s, loss=298, v_num=40]
Epoch 4: : 19it [00:01, 17.76it/s, loss=301, v_num=40]
Epoch 4: : 20it [00:01, 17.89it/s, loss=310, v_num=40]
Epoch 4: : 21it [00:01, 17.90it/s, loss=310, v_num=40]
Epoch 4: : 21it [00:01, 17.90it/s, loss=317, v_num=40]
Epoch 4: : 22it [00:01, 17.89it/s, loss=334, v_num=40]
Epoch 4: : 23it [00:01, 17.94it/s, loss=334, v_num=40]
Epoch 4: : 23it [00:01, 17.93it/s, loss=334, v_num=40]
Epoch 4: : 24it [00:01, 18.05it/s, loss=333, v_num=40]
Epoch 4: : 25it [00:01, 18.16it/s, loss=339, v_num=40]
Epoch 4: : 26it [00:01, 18.14it/s, loss=339, v_num=40]
Epoch 4: : 26it [00:01, 18.14it/s, loss=331, v_num=40]
Epoch 4: : 27it [00:01, 18.16it/s, loss=325, v_num=40]
Epoch 4: : 28it [00:01, 18.25it/s, loss=323, v_num=40]
Epoch 4: : 29it [00:01, 18.33it/s, loss=323, v_num=40]
Epoch 4: : 29it [00:01, 18.33it/s, loss=330, v_num=40]
Epoch 4: : 30it [00:01, 18.42it/s, loss=322, v_num=40]
