C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\checkpoint_connector.py:45: LightningDeprecationWarning: Setting `Trainer(resume_from_checkpoint=)` is deprecated in v1.5 and will be removed in v1.7. Please pass `Trainer.fit(ckpt_path=)` directly instead.
  rank_zero_deprecation(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1584: UserWarning: GPU available but not used. Set the gpus flag in your trainer `Trainer(gpus=1)` or script `--gpus=1`.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1905: LightningDeprecationWarning: `trainer.resume_from_checkpoint` is deprecated in v1.5 and will be removed in v1.7. Specify the fit checkpoint path with `trainer.fit(ckpt_path=)` instead.
  rank_zero_deprecation(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\checkpoint_connector.py:250: UserWarning: You're resuming from a checkpoint that ended mid-epoch. Training will start from the beginning of the next epoch. This can cause unreliable results if further training is done, consider using an end of epoch checkpoint.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\data_loading.py:132: UserWarning: The dataloader, train_dataloader, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 16 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.
  rank_zero_warn(

Training: 0it [00:00, ?it/s]
Training: 0it [00:00, ?it/s]
Epoch 5: : 0it [00:00, ?it/s]
Epoch 5: : 1it [00:00,  9.62it/s]
Epoch 5: : 1it [00:00,  9.52it/s, loss=51.4, v_num=41]
Epoch 5: : 2it [00:00, 11.30it/s, loss=46.8, v_num=41]
Epoch 5: : 3it [00:00, 12.29it/s, loss=46.8, v_num=41]
Epoch 5: : 3it [00:00, 12.24it/s, loss=49, v_num=41]  
Epoch 5: : 4it [00:00, 13.20it/s, loss=47.4, v_num=41]
Epoch 5: : 5it [00:00, 14.12it/s, loss=47.4, v_num=41]
Epoch 5: : 5it [00:00, 14.08it/s, loss=46, v_num=41]  
Epoch 5: : 6it [00:00, 14.74it/s, loss=45.3, v_num=41]
Epoch 5: : 7it [00:00, 15.15it/s, loss=45.3, v_num=41]
Epoch 5: : 7it [00:00, 15.12it/s, loss=44.6, v_num=41]
Epoch 5: : 8it [00:00, 15.21it/s, loss=43.9, v_num=41]
Epoch 5: : 9it [00:00, 15.52it/s, loss=43.9, v_num=41]
Epoch 5: : 9it [00:00, 15.52it/s, loss=42.4, v_num=41]
Epoch 5: : 10it [00:00, 15.77it/s, loss=40.6, v_num=41]
Epoch 5: : 11it [00:00, 15.78it/s, loss=40.6, v_num=41]
Epoch 5: : 11it [00:00, 15.78it/s, loss=39.2, v_num=41]
Epoch 5: : 12it [00:00, 15.79it/s, loss=37.7, v_num=41]
Epoch 5: : 13it [00:00, 15.78it/s, loss=37.7, v_num=41]
Epoch 5: : 13it [00:00, 15.78it/s, loss=36.4, v_num=41]
Epoch 5: : 14it [00:00, 15.98it/s, loss=34.9, v_num=41]
Epoch 5: : 15it [00:00, 16.09it/s, loss=34.9, v_num=41]
Epoch 5: : 15it [00:00, 16.08it/s, loss=33.6, v_num=41]
Epoch 5: : 16it [00:00, 16.11it/s, loss=32.1, v_num=41]
Epoch 5: : 17it [00:01, 16.27it/s, loss=32.1, v_num=41]
Epoch 5: : 17it [00:01, 16.25it/s, loss=30.8, v_num=41]
Epoch 5: : 18it [00:01, 16.35it/s, loss=29.6, v_num=41]
Epoch 5: : 19it [00:01, 16.44it/s, loss=29.6, v_num=41]
Epoch 5: : 19it [00:01, 16.42it/s, loss=28.4, v_num=41]
Epoch 5: : 20it [00:01, 16.45it/s, loss=27.3, v_num=41]
Epoch 5: : 21it [00:01, 16.48it/s, loss=27.3, v_num=41]
Epoch 5: : 21it [00:01, 16.47it/s, loss=25, v_num=41]  
Epoch 5: : 22it [00:01, 16.59it/s, loss=23.1, v_num=41]
Epoch 5: : 23it [00:01, 16.62it/s, loss=23.1, v_num=41]
Epoch 5: : 23it [00:01, 16.61it/s, loss=20.5, v_num=41]
Epoch 5: : 24it [00:01, 16.63it/s, loss=18.5, v_num=41]
Epoch 5: : 25it [00:01, 16.67it/s, loss=18.5, v_num=41]
Epoch 5: : 25it [00:01, 16.66it/s, loss=16.6, v_num=41]
Epoch 5: : 26it [00:01, 16.70it/s, loss=14.6, v_num=41]
Epoch 5: : 27it [00:01, 16.79it/s, loss=14.6, v_num=41]
Epoch 5: : 27it [00:01, 16.79it/s, loss=12.7, v_num=41]
Epoch 5: : 28it [00:01, 16.82it/s, loss=10.7, v_num=41]
Epoch 5: : 29it [00:01, 16.88it/s, loss=10.7, v_num=41]
